description,category
YOUTUBE PREMIUM - NEW YORK NY,Entertainment
DIRECTV,Utilities
AUTH 8362 TIM HORTONS NEW YORK NY,Coffee
ZIPCAR *7541,Transport
CARD 8716 ACE HARDWARE #8716,Other
CRUNCHYROLL /ONLINE,Entertainment
PAYMENT LYFT RIDE,Transport
AUTH 4609 FANDANGO,Entertainment
AUTH 7058 LEASE DEPOSIT #7058,Rent
WEB 7196 TRUE VALUE STORE 7196,Other
PURCHASE SHOPRITE - BERKELEY CA,Grocery
DISNEY+ /ONLINE,Entertainment
PAYMENT CARIBOU COFFEE,Coffee
POS 2129 CULVER'S /ONLINE,Restaurants
PAYMENT APPLE CASH - SAN FRANCISCO CA,P2P
POS 9590 JETBLUE,Travel
PURCHASE VONS *7832,Grocery
PURCHASE ANNUAL FEE STORE 9800,Fees
PAYPAL TRANSFER - SAN JOSE CA,P2P
PURCHASE TENANT WEB,Rent
AUTH 7041 TACO BELL,Restaurants
CARD 5352 HERTZ /ONLINE,Transport
PAYMENT BIRD SCOOTERS *3666,Transport
SCOOTER RENTAL,Transport
FOOD LION,Grocery
HOSPITAL BILL,Health
WEB 3869 PLAYSTATION STORE #3869,Entertainment
HOME DEPOT /ONLINE,Shopping
NOB HILL FOODS,Grocery
ZELLE REQUEST - SAN FRANCISCO CA,P2P
AUTH 3579 ZARA /ONLINE,Shopping
CARD 4282 UBERPOOL STORE 4282,Transport
WEB 9836 GENERAL MERCHANT /ONLINE,Other
PURCHASE TARGET STORE 2931,Shopping
CARD 9651 RENTCAFE STORE 9651,Rent
POS 7627 COMMUNITY CENTER STORE 7627,Other
PRICELINE,Travel
PAYMENT AMERICAN AIRLINES - BERKELEY CA,Travel
AUTH 4708 EXPEDIA - OAKLAND CA,Travel
CARD 3165 AUDIBLE,Entertainment
AUTH 2379 STRIPE PAYOUT STORE 2379,P2P
WEB 6990 BLUE BOTTLE SEATTLE WA,Coffee
POS 4683 FRESH MARKET #4683,Grocery
CULVER'S STORE 4593,Restaurants
AUTH 5293 DENTAL CLINIC,Health
POS 7270 CIRCLE K - BERKELEY CA,Gas
WEB 3358 LANDLORD TRANSFER STORE 3358,Rent
AUTH 3673 GULF OIL,Gas
AUTH 3159 COSTCO SAN FRANCISCO CA,Grocery
INTELLIGENTSIA STORE 7314,Coffee
POS 3847 T-MOBILE /ONLINE,Utilities
POS 6136 APPLE CASH,P2P
FAMILY DOLLAR /ONLINE,Other
PURCHASE BARCADE STORE 6333,Bars
CARD 6555 BUILDINGLINK,Rent
PURCHASE WINGSTOP STORE 5408,Restaurants
AUTH 3489 CHIROPRACTOR /ONLINE,Health
CARD 6423 MAINTENANCE FEE #6423,Fees
AIRBNB *5199,Travel
POS 5920 REVOLUT,P2P
PURCHASE ALDI LOS ANGELES CA,Grocery
POS 6670 REVOLUT - BERKELEY CA,P2P
CVS PHARMACY *5287,Health
GELSON'S,Grocery
SPEAKEASY - BERKELEY CA,Bars
PAYMENT WALGREENS *1406,Health
PAYMENT REMITLY STORE 4256,P2P
PURCHASE UBER AIRPORT #7825,Travel
AUTH 7048 PAYLEASE,Rent
PARAMOUNT+,Entertainment
POS 3881 CHILI'S BAR STORE 3881,Bars
CARD 9765 WHOLE FOODS,Grocery
POS 7068 COMCAST STORE 7068,Utilities
PURCHASE SMUD ENERGY #7963,Utilities
PAYMENT NFL GAMEPASS STORE 5129,Entertainment
AUTH 7075 TAXI SERVICE - LOS ANGELES CA,Transport
LYFT XL,Transport
PURCHASE EXXONMOBIL - AUSTIN TX,Gas
AUTH 3670 VENMO REQUEST - BERKELEY CA,P2P
WIRE FEE STORE 8352,Fees
CARD 8641 GYM MEMBERSHIP,Health
BLUE BOTTLE,Coffee
CARD 4940 LIVE NATION,Entertainment
POS 3516 HOSPITAL BILL - LOS ANGELES CA,Health
OVERDRAFT FEE *8120,Fees
ZELLE,P2P
PURCHASE RED LOBSTER BERKELEY CA,Restaurants
CARD 5006 DUNKIN SAN JOSE CA,Coffee
PURCHASE EXXONMOBIL NEW YORK NY,Gas
WEB 6105 OVERDRAFT FEE - SAN FRANCISCO CA,Fees
PURCHASE NSF FEE LOS ANGELES CA,Fees
LYFT XL,Transport
PURCHASE TRANSFER FEE #5112,Fees
CULVER'S *2627,Restaurants
POS 3754 LIVE NATION STORE 3754,Entertainment
POS 4500 AIRBNB NEW YORK NY,Travel
AUTH 4755 HILTON - SAN JOSE CA,Travel
APARTMENTS LLC,Rent
PURCHASE COSTCO FUEL SEATTLE WA,Gas
PAYMENT SUBWAY,Restaurants
ZELLE - AUSTIN TX,P2P
AUTH 1781 NSF FEE,Fees
POS 3288 AT&T,Utilities
LYFT RIDE,Transport
PURCHASE FANDANGO,Entertainment
WEB 2929 BUILDINGLINK,Rent
PURCHASE TRADER JOE'S,Grocery
PURCHASE PHILZ COFFEE STORE 3864,Coffee
LEASE DEPOSIT,Rent
PAYMENT SALVATION ARMY #4592,Other
CARD 6858 BANK FEE STORE 6858,Fees
PAYMENT AMC THEATRES - SEATTLE WA,Entertainment
CARD 8688 HAPPY HOUR LOUNGE #8688,Bars
ANNUAL FEE #7739,Fees
WELLNESS CENTER,Health
UBERPOOL #1943,Transport
PAYMENT CHEVRON,Gas
AUTH 8202 LABCORP - SAN FRANCISCO CA,Health
COSTCO,Grocery
FUNIMATION,Entertainment
PAYMENT DUTCH BROS,Coffee
WEB 6021 BP,Gas
KAISER,Health
ORTHO CLINIC - BERKELEY CA,Health
LYFT XL BERKELEY CA,Transport
CARD 4745 ZARA,Shopping
PARAMOUNT+,Entertainment
POS 9529 WHISKEY BAR - LOS ANGELES CA,Bars
PAYMENT LATE FEE - OAKLAND CA,Fees
WEB 9078 BREWHOUSE STORE 9078,Bars
TENANT WEB *1345,Rent
PAYMENT 76 STATION *8893,Gas
AUTH 9752 CASH ADVANCE FEE,Fees
PEET'S COFFEE SAN JOSE CA,Coffee
PAYMENT VERIZON #9104,Utilities
CARD 8102 AIRPORT PARKING #8102,Travel
SCOOTER RENTAL - SAN FRANCISCO CA,Transport
PURCHASE BOJANGLES - OAKLAND CA,Restaurants
DOLLAR TREE,Other
CARD 8155 DIRECTV /ONLINE,Utilities
PURCHASE DRY CLEANING,Other
HULU,Entertainment
LA COLOMBE /ONLINE,Coffee
CARD 2868 ZARA /ONLINE,Shopping
AUTH 6352 AMAZON,Shopping
CARD 8101 CASH ADVANCE FEE,Fees
POS 5843 BP,Gas
PURCHASE SCOOTER RENTAL - BERKELEY CA,Transport
PURCHASE REALPAGE PAYMENTS LOS ANGELES CA,Rent
POS 6260 WINCO *6260,Grocery
DELTA VACATIONS,Travel
CARD 9137 KOHL'S,Shopping
SPEEDWAY STORE 6142,Gas
PAYMENT JAVAHOUSE *3105,Coffee
PURCHASE SPIRIT AIRLINES,Travel
PAVILIONS #9274,Grocery
PANDA EXPRESS,Restaurants
PAYMENT H&M - LOS ANGELES CA,Shopping
MARKET BASKET BERKELEY CA,Grocery
WEB 7720 MEGABUS,Transport
PAYMENT WALGREENS /ONLINE,Health
COSTCO,Grocery
ALASKA AIR SAN FRANCISCO CA,Travel
AUTH 1493 BANK FEE OAKLAND CA,Fees
POS 8267 DIRECTV STORE 8267,Utilities
AUTH 1852 TAXI SERVICE,Transport
AUTH 8609 CASH APP,P2P
FRONTIER COMMUNICATIONS #7715,Utilities
BUILDINGLINK SAN JOSE CA,Rent
PAYMENT MEIJER - OAKLAND CA,Grocery
SAM'S CLUB,Shopping
PURCHASE AMTRAK #9520,Transport
PAYMENT CRUNCHYROLL,Entertainment
NFL GAMEPASS,Entertainment
AUTH 1147 SPECTRUM,Utilities
PURCHASE LAVAZZA CAFE STORE 1478,Coffee
HERTZ - SAN FRANCISCO CA,Transport
WEB 7249 ACE HARDWARE STORE 7249,Other
POS 8025 REGAL CINEMAS STORE 8025,Entertainment
POS 8436 TJ MAXX AUSTIN TX,Shopping
POS 4028 DIVE BAR *4028,Bars
PAYMENT CVS PHARMACY AUSTIN TX,Health
WEB 7402 OFFICE DEPOT /ONLINE,Shopping
POS 7179 PHYSICAL THERAPY #7179,Health
ARCO STORE 1666,Gas
XFINITY,Utilities
POS 8405 FARMERS MARKET /ONLINE,Other
CARD 2422 GAMESTOP,Shopping
CARD 9541 SPORTS BAR,Bars
PURCHASE HULU - OAKLAND CA,Entertainment
AUTH 9488 PEET'S COFFEE SEATTLE WA,Coffee
POS 7747 SMUD ENERGY #7747,Utilities
POS 1312 YARD HOUSE #1312,Bars
WHISKEY BAR - LOS ANGELES CA,Bars
LIME BIKE /ONLINE,Transport
BREWHOUSE,Bars
PURCHASE TENANT WEB /ONLINE,Rent
APPLE CASH SAN FRANCISCO CA,P2P
PAYMENT HILTON SEATTLE WA,Travel
PURCHASE RITE AID,Health
CANCER CENTER,Health
BATH & BODY WORKS #1325,Shopping
SPIRIT AIRLINES /ONLINE,Travel
PAYLEASE /ONLINE,Rent
HARDEE'S SEATTLE WA,Restaurants
HOME IMPROVEMENT /ONLINE,Other
WEB 6570 REGAL CINEMAS,Entertainment
CARD 5416 DENTAL CLINIC - BERKELEY CA,Health
APARTMENTS LLC STORE 1049,Rent
STOP & SHOP,Grocery
LYFT AIRPORT STORE 5957,Travel
BOJANGLES STORE 9312,Restaurants
CRUNCHYROLL /ONLINE,Entertainment
PAYMENT PAYLEASE,Rent
POS 2354 JETBLUE,Travel
WEB 5263 PAYPAL FRIENDS STORE 5263,P2P
PAYMENT TEXACO,Gas
PAYMENT SPIRIT AIRLINES NEW YORK NY,Travel
GULF OIL,Gas
CITY GARBAGE,Utilities
WEB 4495 AVIS RENTAL,Transport
CHIME TRANSFER AUSTIN TX,P2P
CHILI'S,Restaurants
PAYLEASE STORE 8357,Rent
PURCHASE T-MOBILE,Utilities
CARD 8779 BOOKING.COM #8779,Travel
CARD 9004 GELSON'S OAKLAND CA,Grocery
CARD 1736 WHOLE FOODS #1736,Grocery
CARD 6674 GENERAL MERCHANT AUSTIN TX,Other
CARD 3905 SHELL - SAN JOSE CA,Gas
WEB 5860 VENMO REQUEST /ONLINE,P2P
AUTH 4457 WINGSTOP,Restaurants
PAYMENT CASH APP - SAN JOSE CA,P2P
CARD 5465 EXXONMOBIL /ONLINE,Gas
APARTMENTS LLC /ONLINE,Rent
PURCHASE EMERGENCY ROOM #3102,Health
PAYMENT BUFFALO WILD WINGS BAR,Bars
TRUE VALUE /ONLINE,Other
LIME BIKE BERKELEY CA,Transport
HERTZ #6383,Transport
PURCHASE MICROBREWERY *4377,Bars
AMC THEATRES - SAN JOSE CA,Entertainment
WENDY'S,Restaurants
AUTH 7879 WHOLE FOODS STORE 7879,Grocery
WEB 6895 SERVICE CHARGE,Fees
PURCHASE HOLIDAY STATION BERKELEY CA,Gas
SECOND CUP #9126,Coffee
PAYMENT TENANT WEB,Rent
ROOFTOP BAR /ONLINE,Bars
POS 9813 THRIFT STORE,Other
WEB 1026 AMERICAN AIRLINES - OAKLAND CA,Travel
DERMATOLOGY #5269,Health
ESSO STORE 1124,Gas
PURCHASE GAS COMPANY #1794,Utilities
POS 7276 CARD REPLACEMENT FEE,Fees
PURCHASE PET STORE,Other
PAYMENT UBER AIRPORT *3650,Travel
POS 4598 RED LOBSTER #4598,Restaurants
SPEEDWAY *3463,Gas
POS 1178 APPLE CASH /ONLINE,P2P
MAINTENANCE FEE NEW YORK NY,Fees
CARD 5732 WHITE CASTLE *5732,Restaurants
PAYMENT GAS COMPANY,Utilities
POS 7605 SAFEWAY,Grocery
PURCHASE ZIPCAR,Transport
WEB 9956 REALPAGE PAYMENTS STORE 9956,Rent
POS 4964 UNIQLO *4964,Shopping
AUTH 1295 CAFE NERO OAKLAND CA,Coffee
AUTH 7606 BUDGET RENTAL,Transport
BREWER'S TAPROOM,Bars
TARGET,Shopping
CARD 7280 ONLINE RENT PAYMENT SAN FRANCISCO CA,Rent
PURCHASE TAXI SERVICE,Transport
PEACOCK,Entertainment
HOME DEPOT #4422,Shopping
PHILLIPS 66,Gas
WEB 1411 OPTOMETRY CENTER *1411,Health
DOMINO'S PIZZA,Restaurants
POS 3675 LYFT AIRPORT,Travel
PURCHASE OLIVE GARDEN AUSTIN TX,Restaurants
FOREIGN TRANSACTION FEE,Fees
PAYMENT ARBY'S,Restaurants
WEGMANS /ONLINE,Grocery
CARD 3476 ANNUAL FEE #3476,Fees
POS 2545 YARD HOUSE - SEATTLE WA,Bars
WEB 2615 FAMILY DOLLAR,Other
AUTH 5320 STARBUCKS NEW YORK NY,Coffee
POS 1292 EXXON - AUSTIN TX,Gas
AUTH 9256 CARD REPLACEMENT FEE /ONLINE,Fees
MAINTENANCE FEE SEATTLE WA,Fees
TACO BELL,Restaurants
PURCHASE CHILI'S,Restaurants
WEB 3358 DOLLAR GENERAL STORE 3358,Other
PAYMENT FARMERS MARKET AUSTIN TX,Other
PAYMENT LYFT AIRPORT - SEATTLE WA,Travel
APPLEBEE'S OAKLAND CA,Restaurants
ACME MARKETS,Grocery
AUTH 5071 FRED MEYER,Grocery
CARD 4510 OPTOMETRY CENTER SEATTLE WA,Health
WEB 2776 SUBWAY *2776,Restaurants
AUTH 4029 CITY PARKING OAKLAND CA,Transport
HARRIS TEETER,Grocery
PAYMENT PORTILLO'S *4858,Restaurants
AUTH 5047 LANDLORD TRANSFER /ONLINE,Rent
AUTH 6696 STAPLES,Shopping
PURCHASE CARD REPLACEMENT FEE STORE 2897,Fees
PAYMENT ENTERPRISE RENTAL,Transport
NETFLIX *8304,Entertainment
WEB 2014 SCOOTER RENTAL,Transport
GIANT EAGLE #4769,Grocery
CARD 6698 AMAZON SAN FRANCISCO CA,Shopping
PURCHASE MICROBREWERY,Bars
XFINITY,Utilities
WEB 3003 BOOKING.COM,Travel
UBERPOOL #8778,Transport
CARD 1381 MENTAL HEALTH *1381,Health
BIGGBY COFFEE,Coffee
POS 3440 DERMATOLOGY /ONLINE,Health
AUTH 2644 ZELLE /ONLINE,P2P
PAYMENT TARGET AUSTIN TX,Shopping
PURCHASE 76 STATION,Gas
PURCHASE EMERGENCY ROOM,Health
WEB 8417 WALGREENS - SAN JOSE CA,Health
WEB 5451 DENNY'S SEATTLE WA,Restaurants
AUTH 7901 FOOD 4 LESS STORE 7901,Grocery
POS 7970 ZELLE REQUEST,P2P
PURCHASE GULF OIL,Gas
YARDI RENT,Rent
ADT SECURITY #6939,Utilities
AUTH 4635 TAXI SERVICE,Transport
H&M #4000,Shopping
POS 5333 HOME DEPOT STORE 5333,Shopping
POS 5253 FANDANGO,Entertainment
MOBIL *5296,Gas
AUTH 2079 JERSEY MIKE'S SEATTLE WA,Restaurants
CARD 6460 RITE AID NEW YORK NY,Health
PAYMENT OVERDRAFT FEE,Fees
WEB 4554 SAVE MART,Grocery
POS 7234 PARKING METER #7234,Transport
PAYMENT VENMO SAN JOSE CA,P2P
STRIPE PAYOUT,P2P
AUTH 1812 RALPHS,Grocery
CALTRAIN SAN FRANCISCO CA,Transport
AUTH 8737 VENMO BERKELEY CA,P2P
HOME DEPOT #6477,Shopping
QUEST DIAGNOSTICS,Health
CARD 3138 DISTILLERY BAR,Bars
POS 7499 COCKTAIL CLUB - BERKELEY CA,Bars
TICKETMASTER #3913,Entertainment
PAYMENT REALPAGE PAYMENTS,Rent
CARD 7944 BUDGET RENTAL - SAN FRANCISCO CA,Transport
WEB 1042 GOOGLE PAY,P2P
CHIROPRACTOR /ONLINE,Health
CARD 1149 HOSPITAL BILL,Health
POS 4698 HAPPY HOUR LOUNGE,Bars
PURCHASE SHAKE SHACK /ONLINE,Restaurants
COCKTAIL CLUB,Bars
WEB 2391 ONLINE RENT PAYMENT /ONLINE,Rent
HULU *8502,Entertainment
WEB 2001 PG&E,Utilities
POS 1876 LANDLORD TRANSFER,Rent
BIGGBY COFFEE BERKELEY CA,Coffee
WALMART,Shopping
BART CLIPPER - SAN JOSE CA,Transport
TSA PRECHECK,Travel
AUTH 4650 GULF OIL,Gas
POS 1985 EXXONMOBIL SAN JOSE CA,Gas
POS 4625 WENDY'S - SAN JOSE CA,Restaurants
PURCHASE PRIMARY CARE,Health
AUTH 4174 COSTCO FUEL /ONLINE,Gas
NETFLIX,Entertainment
PURCHASE STRIPE PAYOUT *4567,P2P
WEB 5827 LATE FEE,Fees
WEB 3444 UBER TRIP,Transport
AUTH 4476 SUNOCO *4476,Gas
KAISER #1605,Health
PURCHASE OPTOMETRY CENTER SEATTLE WA,Health
POS 8080 DUNKIN,Coffee
PAYMENT STEAM GAMES BERKELEY CA,Entertainment
T-MOBILE,Utilities
RALPHS,Grocery
WEB 8548 NBA LEAGUE PASS NEW YORK NY,Entertainment
PURCHASE IKEA /ONLINE,Shopping
POS 1714 OVERDRAFT FEE - OAKLAND CA,Fees
CASH ADVANCE FEE STORE 6363,Fees
PAYMENT BEST BUY #8973,Shopping
UBER AIRPORT - OAKLAND CA,Travel
JAVAHOUSE /ONLINE,Coffee
WEB 9095 SERVICE CHARGE,Fees
PAYMENT CARD REPLACEMENT FEE #7186,Fees
APPLE CASH STORE 7472,P2P
CARD 9146 MUNI METRO,Transport
AUTH 5018 COCKTAIL CLUB NEW YORK NY,Bars
POS 5961 SPEAKEASY,Bars
CARD 6730 UNIQLO OAKLAND CA,Shopping
WHATABURGER - SAN JOSE CA,Restaurants
WEB 1958 WINGSTOP,Restaurants
POS 1343 MACY'S,Shopping
AUTH 3348 ULTA,Shopping
PAYMENT UBER AIRPORT *3667,Travel
PAYMENT SWEETGREEN,Restaurants
CHIPOTLE,Restaurants
AUTH 5025 DELTA VACATIONS #5025,Travel
PURCHASE PLAYSTATION STORE #9556,Entertainment
PURCHASE DELTA VACATIONS,Travel
AMC THEATRES *9519,Entertainment
APARTMENT RENT #5264,Rent
PURCHASE LIME BIKE /ONLINE,Transport
PAYMENT LIVE NATION #5745,Entertainment
POS 3156 BUDGET RENTAL - NEW YORK NY,Transport
PURCHASE MISC CHARGE LOS ANGELES CA,Other
BUILDINGLINK #7925,Rent
BANK FEE STORE 7720,Fees
CARD 9098 OVERDRAFT FEE SEATTLE WA,Fees
AMERICAN AIRLINES /ONLINE,Travel
FOREIGN TRANSACTION FEE /ONLINE,Fees
CAFE NERO,Coffee
CARD 9951 XFINITY *9951,Utilities
CARD 7403 MACY'S STORE 7403,Shopping
BREWER'S TAPROOM,Bars
WEB 8796 AT&T - NEW YORK NY,Utilities
WEB 8596 CRUNCHYROLL,Entertainment
POS 9291 MARSHALLS *9291,Shopping
CARD 5926 DISNEY+ *5926,Entertainment
AUTH 3960 AMTRAK,Transport
WEB 1236 STARBUCKS /ONLINE,Coffee
PET STORE,Other
CARD 7392 GETTY - SAN FRANCISCO CA,Gas
CARD 4351 AMERICAN AIRLINES - LOS ANGELES CA,Travel
PURCHASE DISNEY+ SEATTLE WA,Entertainment
PAYMENT H-E-B *8737,Grocery
PAYMENT REGAL CINEMAS *1925,Entertainment
CARD 3811 UBER AIRPORT,Travel
CARD 1047 AMTRAK *1047,Transport
MENTAL HEALTH,Health
PAYMENT BIRD SCOOTERS STORE 9770,Transport
BUDGET RENTAL,Transport
WEB 6231 TENANT WEB,Rent
CARD 9046 BIRD SCOOTERS,Transport
CARD 3766 WOW INTERNET,Utilities
SHELL,Gas
POS 6683 WHOLE FOODS #6683,Grocery
APARTMENT RENT - BERKELEY CA,Rent
PAYMENT HULU,Entertainment
POS 7111 BUDGET RENTAL,Transport
POS 1600 FANDANGO STORE 1600,Entertainment
YARDI RENT *5452,Rent
PURCHASE ACME MARKETS,Grocery
POS 1977 TOLL BRIDGE *1977,Transport
TRUE VALUE,Other
DISNEY+,Entertainment
COMMUNITY CENTER /ONLINE,Other
STREET VENDOR - BERKELEY CA,Other
PG&E,Utilities
POS 6526 LAUNDROMAT,Other
WEB 5909 BREWER'S TAPROOM,Bars
PAYMENT UNITED AIRLINES #4757,Travel
WEB 7159 ZARA #7159,Shopping
PAYMENT FARMERS MARKET /ONLINE,Other
POS 5240 SHAKE SHACK,Restaurants
POS 1474 STREET VENDOR *1474,Other
NSF FEE,Fees
PAYMENT LYFT RIDE,Transport
PAYMENT QUEST DIAGNOSTICS *1680,Health
PURCHASE FUNIMATION STORE 1651,Entertainment
WEB 2956 URGENT CARE /ONLINE,Health
CARD 8708 SAFEWAY /ONLINE,Grocery
LEASE DEPOSIT,Rent
CARD 8642 QUEST DIAGNOSTICS STORE 8642,Health
PURCHASE PROPERTY MANAGEMENT,Rent
AUTH 6795 PARKING METER - SAN JOSE CA,Transport
WEB 1358 AIRPORT SHUTTLE *1358,Transport
CARD 1634 COMCAST,Utilities
CHILI'S - OAKLAND CA,Restaurants
ALDI,Grocery
AUTH 9224 FRED MEYER - SAN JOSE CA,Grocery
PAYMENT LANDLORD TRANSFER STORE 4592,Rent
TRADER JOE'S,Grocery
PURCHASE DENNY'S AUSTIN TX,Restaurants
CARD 2985 JETBLUE - SEATTLE WA,Travel
PURCHASE LA COLOMBE,Coffee
TARGET - AUSTIN TX,Shopping
AUTH 1759 TAXI SERVICE,Transport
POS 6039 TRUE VALUE *6039,Other
PURCHASE UNIQLO BERKELEY CA,Shopping
PUBLIX *2303,Grocery
WENDY'S,Restaurants
PURCHASE HOME IMPROVEMENT,Other
CARD 8364 UBERPOOL,Transport
AUTH 5783 DOLLAR TREE,Other
WEB 6269 STATEMENT FEE /ONLINE,Fees
BANDCAMP,Entertainment
CARD 5310 PROPERTY MANAGEMENT - OAKLAND CA,Rent
CARD 1341 LOCAL MARKET NEW YORK NY,Other
AUTH 7911 DELTA VACATIONS #7911,Travel
CARD 1439 ROOFTOP BAR - BERKELEY CA,Bars
PAYMENT REVOLUT STORE 9571,P2P
PURCHASE PRICELINE,Travel
POS 7621 APPLE STORE *7621,Shopping
WISE TRANSFER STORE 8693,P2P
POS 8445 OFFICE DEPOT - AUSTIN TX,Shopping
WEB 6509 BP SAN FRANCISCO CA,Gas
AUTH 5267 COSTCO WHOLESALE,Shopping
ZAXBY'S BERKELEY CA,Restaurants
WEB 1512 SOUTHWEST SAN JOSE CA,Travel
CARD 9343 ARCO,Gas
JERSEY MIKE'S OAKLAND CA,Restaurants
PRICELINE *3806,Travel
CARD 1798 LAUNDROMAT /ONLINE,Other
CAFE NERO *4735,Coffee
WEB 3730 JACK IN THE BOX STORE 3730,Restaurants
CARD 1438 BUILDINGLINK - AUSTIN TX,Rent
EXXON,Gas
WEB 6145 BOOKING.COM,Travel
PAYMENT TAPHOUSE,Bars
YOUTUBE PREMIUM *6873,Entertainment
PAYMENT UNIQLO,Shopping
FUNIMATION,Entertainment
PAYMENT YOUTUBE PREMIUM *3324,Entertainment
CARD 6616 CARIBOU COFFEE - SAN JOSE CA,Coffee
POS 9484 ANNUAL FEE STORE 9484,Fees
VENMO *2604,P2P
PAYMENT TENANT WEB,Rent
POS 1802 HARBOR FREIGHT - SAN FRANCISCO CA,Other
AUTH 8285 LYFT XL,Transport
POS 7674 ZARA #7674,Shopping
JAVAHOUSE - SAN FRANCISCO CA,Coffee
WEB 9983 ONLINE RENT PAYMENT *9983,Rent
APPLE STORE /ONLINE,Shopping
PAYMENT GELSON'S SAN JOSE CA,Grocery
COSTCO WHOLESALE STORE 3647,Shopping
AUTH 9246 HARBOR FREIGHT #9246,Other
AUTH 7974 DELTA SHUTTLE - SAN JOSE CA,Transport
POS 4720 ETSY,Shopping
AVIS RENTAL,Transport
BUILDINGLINK #9084,Rent
CARD 7549 BLUE BOTTLE #7549,Coffee
POS 1223 BUFFALO WILD WINGS BAR *1223,Bars
TENANT WEB - SAN JOSE CA,Rent
AUTH 3065 ZELLE *3065,P2P
WEB 5137 TAPROOM STORE 5137,Bars
HOME DEPOT - BERKELEY CA,Shopping
PAYMENT PROPERTY MANAGEMENT STORE 9818,Rent
AUTH 3066 AIRPORT SHUTTLE - SAN JOSE CA,Transport
WEB 2935 YARDI RENT,Rent
WEB 6461 BATH & BODY WORKS,Shopping
PAYMENT JAVAHOUSE /ONLINE,Coffee
CARD 1979 TACO BELL SEATTLE WA,Restaurants
JAVAHOUSE - SAN JOSE CA,Coffee
DRY CLEANING,Other
NSF FEE - BERKELEY CA,Fees
PAYMENT AIRBNB,Travel
PAYMENT CIRCLE K #9137,Gas
PURCHASE URGENT CARE,Health
PURCHASE HOSPITAL BILL OAKLAND CA,Health
POS 3095 LABCORP,Health
AUTH 9584 CITY PARKING #9584,Transport
CARD 6784 BUILDINGLINK - NEW YORK NY,Rent
CARD 9215 APPLE CASH #9215,P2P
DENTAL CLINIC - NEW YORK NY,Health
CARD 1659 GULF OIL /ONLINE,Gas
WEB 4668 CALTRAIN,Transport
PURCHASE BUDGET RENTAL /ONLINE,Transport
PURCHASE SPIRIT AIRLINES,Travel
AUTH 7110 STATEMENT FEE STORE 7110,Fees
PURCHASE BUDGET RENTAL /ONLINE,Transport
AUTH 9301 ARCO,Gas
VENMO,P2P
POS 2601 PARAMOUNT+,Entertainment
HARDWARE STORE,Other
MISC CHARGE STORE 9648,Other
PAYMENT PHYSICAL THERAPY,Health
CARD 4327 PAYLEASE *4327,Rent
AUTH 7593 FANDANGO STORE 7593,Entertainment
SEATTLE'S BEST STORE 4421,Coffee
CARD 1108 PHILZ COFFEE - OAKLAND CA,Coffee
AUTH 9914 ZILLOW RENT AUSTIN TX,Rent
CARD 8139 AMTRAK,Transport
WEB 4278 BEER GARDEN,Bars
POS 3460 LATE FEE STORE 3460,Fees
PAYMENT GOODWILL NEW YORK NY,Other
DELTA SHUTTLE - SAN JOSE CA,Transport
CARD 2725 TENANT WEB /ONLINE,Rent
AUTH 2254 PAYPAL FRIENDS,P2P
PURCHASE CHIROPRACTOR - NEW YORK NY,Health
CANCER CENTER *5142,Health
AMAZON /ONLINE,Shopping
PAYMENT REGAL CINEMAS SAN FRANCISCO CA,Entertainment
GOODWILL #2599,Other
STATEMENT FEE #5999,Fees
WEB 6544 VENMO *6544,P2P
AUTH 6886 MICROBREWERY STORE 6886,Bars
POS 7326 WINE BAR - SEATTLE WA,Bars
GYM MEMBERSHIP STORE 7331,Health
WEB 1164 VERIZON #1164,Utilities
AUTH 3151 SAM'S CLUB SAN JOSE CA,Shopping
PURCHASE SPOTIFY - SAN FRANCISCO CA,Entertainment
ZELLE,P2P
AVIS RENTAL,Transport
POS 9318 JERSEY MIKE'S - LOS ANGELES CA,Restaurants
PAYMENT FOOD LION,Grocery
CINCINNATI BELL *7872,Utilities
PURCHASE JERSEY MIKE'S STORE 4768,Restaurants
TICKETMASTER STORE 1264,Entertainment
PAYMENT HILTON /ONLINE,Travel
PURCHASE APPLEBEE'S BAR /ONLINE,Bars
JERSEY MIKE'S STORE 4335,Restaurants
GOOGLE PAY - BERKELEY CA,P2P
WEB 6572 MONTHLY SERVICE FEE,Fees
AUTH 1712 SECOND CUP LOS ANGELES CA,Coffee
AUTH 7000 GOOGLE PAY,P2P
FOREIGN TRANSACTION FEE - LOS ANGELES CA,Fees
PURCHASE SEATTLE'S BEST - NEW YORK NY,Coffee
PAYMENT PROPERTY MANAGEMENT *8462,Rent
WEB 9581 NORDSTROM NEW YORK NY,Shopping
CAFE NERO STORE 5241,Coffee
SEATTLE'S BEST,Coffee
CARD 6588 AIRBNB - LOS ANGELES CA,Travel
POS 5602 UNITED AIRLINES,Travel
PAYMENT UNIQLO,Shopping
AUTH 7843 QUEST DIAGNOSTICS,Health
BLUE BOTTLE BERKELEY CA,Coffee
CARD 6884 DISNEY+ /ONLINE,Entertainment
PAYMENT PAYLEASE STORE 1760,Rent
PAYMENT HERTZ *2081,Transport
ZELLE REQUEST /ONLINE,P2P
PURCHASE CHILI'S BAR *4281,Bars
PAYMENT MAINTENANCE FEE - AUSTIN TX,Fees
POS 5105 BUFFALO WILD WINGS - SAN JOSE CA,Restaurants
PURCHASE ADT SECURITY,Utilities
